Date,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31
1,0.0,0.0,0.0,0.0,0.0,0.007603766666666238,0.0,0.0,0.0016661263888887636,0.0,4.479305555553845e-05,0.0,1.3631944444429204e-06,0.00012213611111107524,0.0,0.0,0.000417527083333262,0.0,0.0,0.002231670833333189,0.0,0.0,0.0017897027777775834,1.794930555554735e-05,0.002190531944444229,0.0,0.0010861236111109123,0.00023106527777772644,7.005555555549393e-06,0.013325103472221607,0.0,0.0,2.861736111110316e-05,0.017469267361110333,0.0,6.180555555543618e-08,0.0002650201388888318,0.0010547624999999012,0.0,2.964652777777083e-05,0.004288854861110752,0.0,0.0,0.00024306041666664847,7.885694444442561e-05,0.0,0.0,0.00011047152777775644,0.0,0.0,0.0,0.0001246402777777611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019995423611109064,0.00010507361111108665,0.0007554291666665867,0.0003921569444444126,3.6155555555551624e-05,0.0,0.0,0.0,0.0,1.7763888888862785e-06,0.0,0.0,0.00016333680555553375,0.0034086895833328754,0.0,0.00016247013888887816,0.0,0.0,0.0,0.0,0.0,6.840277777758136e-07,0.0,0.0,0.0,0.010710745833332523,0.0,0.0003879888888888451,4.623263888887329e-05,0.0
2,0.0,0.0,5.972222222218172e-07,0.0,0.0,0.0,0.0,0.00010197361111110038,0.002593390277777585,0.0,0.0008688298611110322,0.0,0.0,0.0007253284722221398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021706736111105356,0.0,0.0,0.0,0.0,0.0,0.00835302708333296,0.0,9.638888888886803e-05,0.0,0.0,0.00033904652777774264,0.0,0.00011135208333331715,0.0,0.0007134097222221299,0.0,0.0,0.0,0.0003720923611110748,0.003081996527777436,0.0002952159722221771,0.0005718506944443607,0.0,0.0,0.0,0.00010748472222220763,0.0,0.0,4.8106249999983046e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006698374999999358,3.4027777777723143e-08,0.0,3.429861111110396e-05,0.0003973541666666157,2.6236805555538545e-05,0.0003700569444443961,0.0,0.0,0.0,4.313888888883473e-06,0.003422504166666416,0.0005819402777777154,0.0,0.0,0.007819715277776973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007948874999999592,5.2777777777753464e-08,0.0,0.0,0.0002845395833332705,0.0,0.0,0.0,0.0
3,0.0110420333333325,0.0,8.057916666664235e-05,6.113263888887912e-05,0.0,7.378472222220593e-05,0.0,0.0007112923611110271,0.001653827777777557,8.680555555498318e-08,0.005870967361110794,0.00578981111111076,0.0,0.0,0.0,8.839583333326573e-06,0.00030616388888884255,3.742847222220933e-05,0.0,3.375208333332294e-05,0.0,0.0,0.0003473972222221835,0.0,0.0,2.822708333331943e-05,0.0,0.00012952430555552102,0.0,0.0,0.00032514722222219396,0.0,0.0,0.001495216666666509,0.0,0.0010506624999998368,0.0,0.0,0.0,0.001426428472222085,0.0,0.0018583951388885754,0.0,0.0,0.0,0.0,5.304166666665802e-05,2.4027083333317083e-05,2.1589583333326958e-05,0.003870350694444145,0.0,0.0,0.0,0.0006487493055554491,1.2590277777762499e-05,0.0,1.62986111110788e-06,3.591111111110064e-05,1.6416666666647158e-06,0.0008598222222221875,0.0,0.0,6.681249999998763e-05,0.0,0.000431173611111042,0.0,0.0,0.0,0.0,0.009819813194443652,0.0,0.001382591666666471,0.0,4.747013888887578e-05,0.0,0.0,4.698472222220751e-05,0.0,0.0004240979166665741,0.0023466666666662086,0.0003142972222221833,0.005817811805555152,0.0,0.0,0.000212589583333282,0.0,0.0,0.0,0.0,0.0
4,4.131944444433581e-07,0.0013770437499998308,0.0,0.000668337499999886,1.319444444444034e-05,0.0011857805555554267,0.0002867909722221748,4.180138888887155e-05,0.00022794513888883453,0.0,0.003953732638888543,0.0,0.0,0.0,0.0,0.0,0.0,9.095833333325507e-06,0.0,0.00015039097222218275,0.0,0.0,0.0,0.0,3.173402777777371e-05,1.3802083333327688e-05,0.0,0.0,1.5672916666660263e-05,0.0,0.0002121576388888608,0.0,4.43333333332685e-06,0.0,0.0,0.0009066520833331307,0.0,4.75277777777351e-06,0.0,0.0,0.0001092854166666409,9.376458333331093e-05,0.0,0.0,0.0,0.0,0.00011440694444442191,0.0,6.747222222217945e-06,0.0,0.0,0.0007734104166665626,0.0,0.0,0.0004035555555554894,0.0009184986111110085,0.0,0.0,0.0,0.0,0.0,0.0004692222222221851,0.00034058611111106185,0.0,0.0004047236111110486,0.0,0.0,0.0,0.0,0.0,0.0,0.00018360138888885854,0.007214966666666072,0.0,0.0,2.5757638888870282e-05,0.0,0.0,0.006929836805554868,2.7034722222168344e-06,0.002709477083332969,0.003358754861110742,9.931944444442663e-05,4.9002777777760684e-05,0.0003980805555555067,0.0,0.0,0.0,1.3019444444434135e-05,4.8881944444432906e-05
5,0.0,6.357708333331886e-05,0.0,4.245138888883856e-06,0.0002057076388888627,1.588541666665962e-05,0.005477784027777135,1.43159722222139e-05,0.0,2.3005555555549604e-05,0.009762302777777329,0.0004259951388888276,2.2291666666587575e-07,0.0,0.008190724305554863,0.0,0.0,5.95138888888316e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.495763888887828e-05,4.5022916666649986e-05,0.0,0.0,0.0036485784722218094,0.0,0.0,0.0,0.0,0.002271522222222024,0.0,0.0005899236111110121,0.0,0.0,0.0,0.0,0.00557573958333301,0.0,0.00011503124999996,0.0,0.0,0.0,0.0,0.0013541638888887933,0.0,0.0,0.0005224284722221226,0.004129118055555262,0.0,0.0,0.0,0.0,0.0,0.0,0.0005267013888888063,0.0,0.0,0.0,0.0,1.4300694444431766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009310486111109938,0.005600203472221826,0.00018057083333328697,0.0,5.248541666665268e-05,0.0,0.003802964583333087,0.002207373611110846,0.000263945138888837,0.00031318888888883715,0.0005494451388887908,0.0,0.0,0.0,0.0001346305555555357,0.0010679652777775886
6,0.0,0.0,0.0,0.0,0.0010546527777775653,0.011402571527777123,0.00024289027777775,0.0,0.0010111388888887963,4.013888888884962e-07,9.329513888886846e-05,5.552013888888041e-05,0.012025777083332644,0.0,0.0,0.0001085416666666313,4.2893055555539326e-05,7.927013888885023e-05,0.0,0.0,0.0006126388888886256,0.0,0.0,0.0,0.0,0.0014037791666663912,0.0,0.0,0.0,0.0,0.0,1.5555555555544466e-05,0.0,0.0001921527777777015,0.0,0.0,0.0,0.0,0.00011483680555553624,0.0,0.0,0.0,0.000433318749999921,0.0,0.0,0.0,0.0,0.010288611111110242,5.8386111111096025e-05,0.0,0.011435309722221756,6.361111111107536e-05,0.0,0.0,0.0,0.0,0.0013024999999997327,0.0,0.00018624999999995278,0.0,0.0,0.0,0.0006759027777777332,0.0,0.0,0.0,0.0,0.0,0.00040249999999993085,4.722222222212697e-06,0.0,0.0030639423611107356,0.0,0.0,0.010404097222221133,0.01091631944444409,0.0,0.0,9.99777777777454e-05,0.0018204166666664163,0.0026319027777775865,0.016631736111109494,0.00010909236111106848,0.0,0.0,0.0006981833333332185,0.0,0.0,0.0,7.042361111106269e-06
7,0.0,7.217569444443257e-05,0.0,2.641458333332341e-05,0.0,0.0,0.0,0.0,0.0018579423611110085,0.0,0.0023489423611110206,0.0,0.0,0.0,0.0,0.0,0.0,4.8611111111097495e-05,0.0,0.0,0.0,0.0,0.0,3.952430555554029e-05,0.00012544444444442693,0.00024086944444439497,0.0,0.0,0.0,0.0013889777777776875,0.0001289361111110981,0.0,0.0,0.00028089722222219047,0.0,0.0,0.0012543027777776193,0.0,0.0007338888888887599,8.840624999997961e-05,3.8041666666667317e-06,0.0,0.0,0.0013529493055554843,0.0,0.0,0.0,0.0,0.0,0.0,0.0025159138888887506,0.0,0.0,0.0,0.00012567708333331712,0.0,0.0,6.944444444440646e-05,0.0,0.0,0.0,0.0,0.0011112715277776597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.250000000010105e-09,0.00012012222222220685,0.0,1.1324999999993147e-05,0.0,0.0,0.0,0.0,0.0,6.861597222220943e-05,0.0003072770833332821,0.0002617381944444307,0.0,0.00010270138888886442,0.0,0.0,0.0,0.0,0.0004741666666665825
8,6.270138888882196e-06,3.707430555554127e-05,0.0005675388888888551,0.00012361527777776486,0.0,0.0,0.0,0.00032551319444440105,0.002490646527777643,0.0,1.5115972222217167e-05,0.0018956645833332517,0.0,0.00015160833333330084,0.0,0.0,0.0,0.0,0.0,0.0,0.000581546527777703,8.573680555554198e-05,0.0009259534722220926,0.0037763680555552414,0.00015028402777775765,0.0,0.0,0.0002837993055554897,0.0,2.047569444443484e-05,6.61944444444007e-06,0.0,0.0,0.0005936152777777525,0.0,0.0,0.0008786812499999325,1.9861111111000677e-07,0.0,0.0009682354166665637,0.0005292777777777329,0.0,0.0,0.0018610923611110243,3.375486111110604e-05,0.0013256027777776218,0.0003216430555555139,0.00011877430555553323,0.0,0.0,1.7204166666660274e-05,0.0,0.0,4.119861111109587e-05,0.0,0.0,0.00034869652777774394,0.0,0.000216663194444418,0.0,0.0,0.0,0.0,6.574999999994841e-06,1.8750000000030317e-08,0.0001180416666666511,1.3650694444435155e-05,0.001148101388888826,0.00012868055555552703,0.0,0.0,7.012222222220397e-05,0.0012698930555554643,0.0003286451388888478,1.8236111111072064e-06,2.261319444443879e-05,0.0,2.611111111101078e-07,0.0,5.611111111100994e-07,0.00024029583333330063,0.0009363951388888281,0.0005426291666666182,0.0,0.0,0.00033008749999998007,0.00010350069444442401,0.0,0.000305702777777742,0.006175963194443984
9,2.324722222221255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002617550694444201,0.0008576111111110061,0.0,0.00045472916666660734,0.0,0.0,0.00014765624999997328,0.0,0.0,0.00044059166666663975,0.0,5.196041666665331e-05,0.0,1.2062499999975094e-06,2.44916666666612e-05,2.1033333333327537e-05,0.0,0.0,0.001413331944444376,0.006237349305555149,0.0,0.0,0.001664688888888768,0.0,0.0,0.0,0.0,0.0,1.6472222222205543e-06,0.0,0.0,0.0001972555555555106,8.86111111110625e-06,0.00015000763888884863,0.0,0.0,0.0005969229166666073,0.004389938888888432,5.976944444442979e-05,0.005137709027777328,0.0003041090277777429,0.0,3.688263888888087e-05,0.0,0.0017707791666664839,0.0,0.0002593298611110864,0.0,0.0,0.0,0.0,2.0290277777770014e-05,0.0007493493055554598,0.0,6.390763888885549e-05,0.0,0.0,0.0,0.0,4.003888888886722e-05,0.00022564722222218503,0.0,0.0,0.0,0.00020597013888884192,0.0,5.7861111111100606e-05,1.1734722222217127e-05,0.0,0.0,0.0,0.0,0.0015244743055554605,0.0,0.0,4.958333333313389e-07,0.0,0.0,0.0,0.015623712499999358,0.0014880138888887168,0.0,0.0
10,0.0,1.3886111111101052e-05,0.0014387138888887537,0.0,0.0,0.0,0.0,0.0,0.0005820951388888037,0.0,0.0002030791666666524,0.0,0.0,0.0,0.0,0.00015318888888883603,0.0,0.0,0.0,1.0197916666661774e-05,0.00046033958333329376,0.0,0.0,0.0,0.0,7.090972222220573e-05,1.0811111111104469e-05,0.0,0.0,0.00027887986111104445,0.0006758902777776754,8.749999999915462e-08,0.0011923930555553855,7.635069444442156e-05,0.0,0.0,0.0,1.3973611111104154e-05,0.00024217916666660413,0.0,0.0,0.0,0.0,0.008195915277777289,3.045138888887343e-06,0.0,0.0,5.7038888888868556e-05,0.00015454305555553382,0.0,0.0,0.0,0.0,0.0,0.0,8.448819444441992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002627298611110751,0.0,3.092361111106791e-06,0.0,0.0,0.0,0.002786952777777457,0.00018614930555551387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.325763888887895e-05,0.0,0.0,0.0,0.0,0.0
